subplot,Treat,Treat2,ALLGEY,ANDSEP,AREFEN,ARTSCO,BISBIS,CALPUR,CAMROT,CARRUP,CASOCC,CERARV,DRABA,ERINAN,ERIPIN,FESBRA,GEUROS,HELMOR,HERBWHITE,KOBMYO,LLOSER,LUZSPI,MERLAN,MINOBT,OREALP,PACCAN,PARPUL,PHLOX,POASPP,SAXRHO,SEDLAN,SILENE,TETACA,TETGRA,TONPYG,TRIDAS,TRINAN
27N,N,Tundra,0,0,2.25,15.06,0.45,0,5.17,13.26,0,0,0,0,0,2.25,0.45,0,0,0,3.82,0.67,0,22.02,2.25,0,10.79,0,0,0,1.57,1.12,1.12,0,0,17.75,0
27S,S,Tundra,0,0,10.13,9.87,0,1.27,7.34,9.11,0,0,0.51,0,0,1.27,1.01,0,0,0,6.08,0,0,16.2,7.34,0,3.04,0,0,0,1.27,0,2.53,0,0,12.41,10.63
28C,C,Cushion,0,0,0,5.23,0,1.96,1.96,21.57,0,0,0,0,0,3.92,2.61,0,0,0,3.92,0,0,0,37.91,0,0,5.23,3.27,0,0,0,1.31,1.31,0,9.8,0
28N,N,Tundra,0,0,5.95,2.98,0.6,0,2.98,2.98,0,0,0,0,0,4.76,8.93,2.98,0,0,0,0,1.79,4.76,13.1,0,0,0,0,0,0,0,7.14,0,0,41.07,0
28S,S,Tundra,0,0,0,2.56,0,13.85,1.54,7.69,0,0,0.51,0,2.56,0,2.05,0,0,0,0,0,0,5.13,9.23,0,0,0,0,0,1.54,5.13,7.18,0.51,0,40.51,0
29C,C,Cushion,0,0,9.93,7.28,0.66,0,5.3,17.22,0,0,0,0,0,6.62,1.32,6.62,0,0,6.62,0,0,0,21.19,0,0,0,1.32,0,0,0,3.31,0.66,0,11.92,0
29N,N,Tundra,0,0,5.24,6.64,0,0,3.5,8.74,0,0,0,4.2,0,1.75,1.75,0,0,0,1.4,0,0,16.08,4.9,0,1.75,0,0,0,0,0,4.9,0,0,39.16,0
29S,S,Tundra,0,0,1.59,2.87,0,0,4.78,6.05,0,0,0,0,1.59,1.59,4.14,0,0,0,5.41,2.23,0,10.83,5.1,0,8.92,0,0,0,0.96,0,0,0,0,43.95,0
30C,C,Cushion,0,0,5.38,0,0,0,0,11.54,0,0,0,0,3.85,4.62,2.31,0,0,0,13.08,0,0,0,33.08,0,0,0,0,0,0,0,0,1.54,3.08,21.54,0
30N,N,Tundra,0,0,11.46,0,0.64,0,6.37,15.92,0,0,0,11.46,1.91,7.64,8.92,0,0,0,1.91,0,0,19.11,5.1,0,0,0,0,0,3.18,0,0,3.18,3.18,0,0
30S,S,Tundra,0,0,14.83,4.24,0.42,0,10.59,8.9,0,0,0,3.39,0,0,11.44,0,0,0,1.69,0,0,17.8,0,0,2.12,0,2.12,0,0,6.36,3.81,0,0.42,11.86,0
