"taxonobservation_id","observation_type","scrubbed_family","scrubbed_species_binomial","latitude","longitude","elevation_m","country","state_province","county","locality_description","plot_name","is_new_world","is_geovalid","event_date","date_collected","plot_sampling_protocol","identified_by","datasource","datasource_id","dataset","dataowner","custodial_institution_codes","collection_code","collector","collection_number","is_cultivated","nsr_native_status","nsr_is_introduced",
"79469130","specimen","Bignoniaceae","Chilopsis linearis","","","","USA","New Mexico","Grant","NM Highway 180, 2 miles west and 4 miles south of Silver City.","","","","","1958-11-28","","J. Henrickson","GBIF","1413","UNM","UNM","UNM","Herb","J. Mohlenrich","","","","",
"79055224","specimen","Bignoniaceae","Chilopsis linearis","","","","USA","New Mexico","Luna","in wash along road","","","","","1987-06-06","","","GBIF","949","NMCR","NMCR","NMCR","Herb","Columbus, J. Travis","","","","",
"75102465","specimen","Bignoniaceae","Chilopsis linearis","27.0009332999999998","-102.000133300000002","3300","Mexico","Coahuila","","ca 6 air miles W of Cuatro Cienegas in first major canon on the northside of Sierra de La Madera on limestone cliffs and arroyo, tube pink, lower 3 lips with dark purple -red, tube with 2 lighr yellow-orange ribs within; with Chilopsis, Agave lecheguilla, Celtis, Prosopis, Anisacanthus, Tecoma, Karwinskia.","","1","1","","1972-09-22","","Henrickson","MO","281","MO","MO","MO","","James S. Henrickson","7949","0","UNK","",
"75065632","specimen","Bignoniaceae","Chilopsis linearis","","","700","Mexico","Nuevo León","","Cañón de Santa Catarina, N.L. Habitat: en el arroyo","","1","","","1943-05-01","","Ronald R. Weedon, J.R. Sutton, J.M. Lancaster","MO","281","MO","MO","MO","","Ernest Lyonnet","3930","0","UNK","",
"66136684","specimen","Bignoniaceae","Chilopsis linearis","","","","USA","New Mexico","","White Sands National Monument.","","","","","1939-08-09","","J. Henrickson","GBIF","1413","UNM","UNM","UNM","Herb","W.H. Bell","","","","",
"66127029","specimen","Bignoniaceae","Chilopsis linearis","","","","USA","New Mexico","Eddy","Lower valley of Rocky River below Sitting Bull Falls camp, 3-4 miles.","","","","","1960-04-16","","J. Henrickson","GBIF","1413","UNM","UNM","UNM","Herb","W.C. Martin","","","","",
"58799122","specimen","Bignoniaceae","Chilopsis linearis","33.0345340563238992","-116.731822393087995","","United States","California","San Diego","San Felipe","","1","","","1903-07-03","","J. Henrickson,","MO","281","MO","MO","MO","","LeRoy Abrams","3979","0","P","0",
"58727583","specimen","Bignoniaceae","Chilopsis linearis","31.7638999999999996","-110.748999999999995","","United States","Arizona","Pima","Road to Greaterville; 3.6 miles east of junction to Madera Canyon","","1","1","","1968-10-11","","","GBIF","397","ASU","ASU","ASU","ASUPlants","Elinor Lehto","","","P","0",
"58527915","specimen","Bignoniaceae","Chilopsis linearis","","","","USA","Arizona","Yavapai County","Government Springs Wash east of Cleator","","","","","1976-06-12","","","GBIF","397","ASU","ASU","ASU","ASUPlants","David J. Keil","","","","",
"58525961","specimen","Bignoniaceae","Chilopsis linearis","33.3954000000000022","-112.867000000000004","","United States","Arizona","Maricopa","Ca. 2 miles south of Wintersburg; near Jagow Well","","1","1","","1973-09-18","","","GBIF","397","ASU","ASU","ASU","ASUPlants","Elinor Lehto","","","P","0",
